account_id,performance_period,event_indicator,gender,ever_missed_obligation,at_current_job_1_year,smoker,uses_direct_deposit,business_owner,homeowner,auto_owner,card_testing,city_state_match,synthetic_identity,income_high,non_military_disability,marital_status,living_status,credit_purpose,identity_match,military_status,application_day,num_dependents,job_industry,citizenship,region,self_id_race_ethnicity,application_hour,years_at_residence,age,debt_to_income,city_state,credit_utilization,num_transactions,credit_history_mos,credit_score,amount,credit_request_duration,net_worth,id_important_activity,id_direct_contact,id_current_fs_relationship,job_industry_char,citizenship_char,region_char,gender_char,smoker_char,marital_status_char,ssn,living_status_char,credit_purpose_char,identity_match_char,military_status_char,application_day_char,self_id_race_ethnicity_char,application_hour_char,city_state_char
1,2,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,2,1,2,0,4,5,1,3,3,5,10,1,42,83,180,0,67,100,833,16031,7,258808,false,true,true,Energy,India,India,male,nonsmoker,Married,233737891,rent,mortgage,fair,none,thrursday,Hispanic/Latino(a),10AM,33.13°N 117.07°W
2,2,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,2,1,3,1,1,7,5,1,0,6,1,25,51,59,8,30,79,780,470083,1,52589,false,false,false,Financial Services,Argentina,Canada,male,smoker,Married,958552571,own,consolidation,poor,retired,Monday,White/Caucasian,6AM,38.04°N 84.46°W
3,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,2,1,2,3,0,5,4,2,3,7,0,8,1,66,30,131,38,35,82,698,359983,12,267408,false,false,true,Media and Advertising,India,EU,female,nonsmoker,Divorced,905831497,mortgage,consolidation,good,none,Friday,White/Caucasian,8AM,45.64°N 122.60°W
4,2,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,3,0,2,0,4,7,1,5,12,1,38,25,333,19,66,88,761,19539,11,279489,false,false,true,Hospitality,Botswana,Canada,female,nonsmoker,Married,842901566,mortgage,auto,good,none,Tuesday,Hispanic/Latino(a),12PM,41.66°N 70.94°W
5,2,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,2,1,3,1,5,1,7,7,3,5,13,3,37,68,41,40,34,88,829,215562,21,137094,false,false,false,Financial Services,Tunisia,India,male,nonsmoker,Married,753786605,rent,mortgage,good,active_duty,Friday,Hispanic/Latino(a),1PM,35.83°N 78.64°W
6,2,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,4,0,1,4,3,4,3,0,20,16,27,17,225,39,34,95,460,193928,15,218036,false,false,true,Transportation,China,India,male,smoker,Married,199892805,own,mortgage,excellent,none,Monday,White/Caucasian,8PM,33.95°N 83.37°W
7,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,1,6,0,7,2,4,1,13,23,31,104,234,35,36,14,781,202744,1,50523,false,false,false,Financial Services,Mexico,China,male,nonsmoker,Single,152048798,own,consolidation,fair,active_duty,Saturday,Black/African-American,1PM,38.11°N 122.26°W
8,2,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,2,3,0,5,2,2,2,1,2,5,1,53,45,167,37,49,82,755,146512,17,78210,false,false,false,Media and Advertising,Mexico,Canada,female,nonsmoker,Married,548686667,mortgage,consolidation,good,none,Friday,Asian,5AM,32.81°N 83.69°W
9,2,0,0,1,1,0,0,1,0,1,0,1,0,0,0,2,1,4,0,0,1,0,1,7,4,1,10,1,75,73,310,82,83,93,812,293491,2,267588,false,false,true,Energy,Tanzania,China,male,nonsmoker,Divorced,185591238,mortgage,other,inconclusive,none,Monday,Black/African-American,10AM,37.08°N 113.56°W
10,2,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,2,4,0,2,3,0,0,0,5,15,3,37,34,282,35,42,83,418,40627,13,180759,false,false,false,Education,United States,US,male,nonsmoker,Married,277451182,mortgage,consolidation,excellent,none,Tuesday,Hispanic/Latino(a),3PM,25.95°N 80.24°W
11,2,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,3,7,4,1,0,34,36,2,329,40,74,37,756,149710,99,528827,false,false,false,Transportation,Egypt,China,male,nonsmoker,Married,244556929,mortgage,mortgage,poor,none,Monday,Black/African-American,12AM,39.76°N 121.82°W
12,2,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,2,1,2,0,0,1,6,0,3,1,9,19,44,33,10,83,46,62,616,52168,7,245355,false,false,false,Manufacturing,United States,India,male,nonsmoker,Married,912405112,rent,mortgage,fair,none,Sunday,Black/African-American,9AM,30.34°N 81.66°W
13,2,0,1,0,1,0,1,0,0,0,1,1,0,0,0,2,2,1,2,0,2,5,7,7,4,0,13,1,66,88,243,10,60,76,785,41585,9,343042,false,false,false,Financial Services,Botswana,China,female,nonsmoker,Divorced,841769305,rent,mortgage,fair,none,Tuesday,White/Caucasian,1PM,45.79°N 108.55°W
14,2,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,5,2,7,2,3,1,11,5,34,33,247,46,12,83,829,124552,103,120814,false,false,true,Financial Services,Mexico,India,male,smoker,Married,683473431,mortgage,auto,poor,none,Friday,Black/African-American,11AM,36.04°N 95.78°W
15,2,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,4,2,4,0,1,2,1,0,5,1,20,59,280,46,2,46,734,413522,3,58058,false,false,true,Energy,Mexico,Canada,female,smoker,Married,800155351,mortgage,auto,excellent,reserves,thrursday,White/Caucasian,5AM,29.70°N 98.12°W
16,2,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,2,0,4,1,0,0,1,3,0,14,1,39,6,36,3,98,79,537,38424,10,116026,false,true,false,Education,Canada,India,male,nonsmoker,Married,348955643,mortgage,consolidation,inconclusive,disabled,Monday,White/Caucasian,2PM,33.40°N 111.72°W
17,2,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,2,0,3,7,1,4,3,0,13,1,50,35,331,75,69,93,494,8218,155,126763,false,false,false,Energy,China,India,male,smoker,Married,697085590,mortgage,auto,fair,none,Wednesday,White/Caucasian,1PM,42.67°N 73.80°W
18,2,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,4,0,1,2,7,1,5,7,14,1,75,67,193,53,40,84,821,48742,3,373861,false,false,true,Financial Services,Canada,LATAM,male,nonsmoker,Married,228709280,mortgage,mortgage,excellent,none,Monday,Multiracial,2PM,31.56°N 97.19°W
19,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,3,0,2,3,6,4,5,1,12,1,36,47,193,57,14,74,787,397232,93,113290,false,true,false,Manufacturing,China,LATAM,male,nonsmoker,Married,783037337,rent,auto,good,none,Tuesday,Black/African-American,12PM,31.56°N 97.19°W
20,2,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,3,0,3,4,3,4,0,4,18,11,44,60,231,52,67,83,721,10794,4,92620,false,false,false,Transportation,China,US,female,smoker,Married,725361223,mortgage,mortgage,good,none,Wednesday,Hawaiian/Pacific Islander,6PM,40.59°N 75.48°W
21,2,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,3,0,3,1,5,4,5,0,9,1,67,42,124,36,14,61,544,10777,1,339121,false,true,true,Healthcare,China,LATAM,female,nonsmoker,Married,136824315,mortgage,mortgage,good,none,Wednesday,White/Caucasian,9AM,33.37°N 82.07°W
22,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,3,4,6,3,1,5,3,4,10,1,25,83,97,1,93,48,622,20112,63,251528,false,false,false,Energy,Costa Rica,India,male,nonsmoker,Married,922830967,mortgage,mortgage,good,disabled,Saturday,Hawaiian/Pacific Islander,10AM,47.67°N 117.43°W
23,2,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,6,0,2,5,0,1,10,1,40,50,123,88,25,72,770,461590,1,270148,false,false,false,Media and Advertising,Costa Rica,US,male,nonsmoker,Single,513916263,mortgage,auto,poor,none,Saturday,Black/African-American,10AM,32.51°N 84.87°W
