account_id,performance_period,event_indicator,gender,ever_missed_obligation,at_current_job_1_year,smoker,uses_direct_deposit,business_owner,homeowner,auto_owner,card_testing,city_state_match,synthetic_identity,income_high,non_military_disability,marital_status,living_status,credit_purpose,identity_match,military_status,application_day,num_dependents,job_industry,citizenship,region,self_id_race_ethnicity,application_hour,years_at_residence,age,debt_to_income,city_state,credit_utilization,num_transactions,credit_history_mos,credit_score,amount,credit_request_duration,net_worth,id_important_activity,id_direct_contact,id_current_fs_relationship,job_industry_char,citizenship_char,region_char,gender_char,smoker_char,marital_status_char,ssn,living_status_char,credit_purpose_char,identity_match_char,military_status_char,application_day_char,self_id_race_ethnicity_char,application_hour_char,city_state_char
1,4,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,3,0,4,1,0,1,3,4,8,1,51,59,6,68,29,87,572,67892,3,215356,false,true,false,Education,Canada,India,female,nonsmoker,Married,515601700,mortgage,mortgage,good,none,thrursday,Hawaiian/Pacific Islander,8AM,40.01°N 75.13°W
2,4,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,2,1,3,0,2,1,6,2,4,1,10,1,51,81,250,8,26,78,505,24532,19,469972,false,false,true,Manufacturing,Mexico,China,female,nonsmoker,Married,798212522,rent,mortgage,good,none,Tuesday,Black/African-American,10AM,32.97°N 96.71°W
3,4,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,2,4,3,4,3,3,1,5,6,1,18,13,42,26,167,1,6,73,793,375927,45,182803,false,true,false,Energy,Costa Rica,EU,male,nonsmoker,Married,197296366,rent,other,good,disabled,Wednesday,Black/African-American,6PM,32.81°N 83.69°W
4,4,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,2,0,4,0,3,1,0,1,5,0,13,14,40,39,18,61,22,6,756,481861,4,154122,false,true,false,Education,Canada,LATAM,male,smoker,Married,614165995,rent,auto,excellent,none,Wednesday,White/Caucasian,1PM,47.62°N 122.35°W
5,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,1,1,7,6,5,3,5,10,2,36,110,245,76,40,63,638,28114,56,614712,false,true,true,Manufacturing,Bolivia,India,male,nonsmoker,Married,766421330,own,auto,good,active_duty,Monday,Hispanic/Latino(a),10AM,41.77°N 72.68°W
6,4,0,1,1,1,0,1,1,1,1,0,0,0,1,1,2,1,2,3,2,5,5,3,5,2,0,10,1,45,10,118,38,25,66,712,242630,1,310251,false,false,false,Transportation,Paraguay,Mexico,female,nonsmoker,Divorced,235144311,mortgage,consolidation,good,reserves,Friday,White/Caucasian,10AM,43.54°N 96.73°W
7,4,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,4,0,2,4,1,0,1,0,10,4,22,23,94,6,44,91,364,57983,24,245316,false,false,false,Energy,United States,Canada,female,nonsmoker,Married,525164799,own,auto,excellent,none,Tuesday,White/Caucasian,10AM,32.91°N 96.63°W
8,4,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,3,5,4,4,4,0,11,1,26,1,297,7,39,88,549,139204,5,752408,false,false,false,Hospitality,China,China,female,smoker,Married,406763853,mortgage,auto,poor,active_duty,Wednesday,White/Caucasian,11AM,47.66°N 117.23°W
9,4,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,2,3,4,3,3,6,0,3,1,7,1,36,6,166,99,30,86,785,40558,150,299280,false,false,false,Manufacturing,United States,India,male,nonsmoker,Single,707449285,mortgage,consolidation,good,disabled,Wednesday,Black/African-American,7AM,33.67°N 112.45°W
10,4,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,3,0,3,6,4,7,5,1,13,1,44,17,120,46,16,7,594,88080,7,271899,false,false,false,Hospitality,South Africa,LATAM,male,smoker,Married,232473076,own,auto,good,none,Wednesday,Black/African-American,1PM,35.20°N 101.83°W
