account_id,performance_period,event_indicator,gender,ever_missed_obligation,at_current_job_1_year,smoker,uses_direct_deposit,business_owner,homeowner,marital_status,num_dependents,job_industry,citizenship,region,years_at_residence,age,debt_to_income,num_transactions,credit_history_mos,credit_score,amount,net_worth,id_important_activity,id_direct_contact,id_current_fs_relationship,job_industry_char,citizenship_char,region_char,gender_char,smoker_char,marital_status_char,ssn
1,3,0,1,1,1,0,0,1,1,1,3,6,0,4,23,19,18,48,48,781,279634,377120,false,false,false,Manufacturing,US,NE,female,nonsmoker,Married,271805709
2,3,0,0,1,1,0,1,1,1,1,0,1,7,3,1,53,2,34,81,788,77290,124416,false,false,false,Energy,Other,Texas,male,nonsmoker,Married,646023899
3,3,0,1,0,1,0,0,1,0,1,1,7,4,3,1,39,100,31,84,775,55599,765582,false,false,true,Financial Services,Africa,Texas,female,nonsmoker,Married,483598747
4,3,0,0,0,1,0,1,1,0,1,5,2,6,1,21,35,51,67,92,493,450023,208139,false,false,false,Media and Advertising,China,New York,male,nonsmoker,Married,292114701
5,3,0,1,1,0,1,0,1,1,1,1,2,1,0,1,59,5,39,64,597,137106,389059,true,false,false,Media and Advertising,LATAM,California,female,smoker,Married,246544140
6,3,0,1,1,1,1,0,1,1,1,2,4,4,5,1,32,64,25,78,844,72893,293971,false,true,true,Hospitality,Africa,South,female,smoker,Married,679254052
7,3,0,0,1,1,1,0,1,1,1,2,3,0,3,12,38,34,41,87,656,88720,419679,false,false,false,Transportation,US,Texas,male,smoker,Married,397714794
8,3,0,0,1,0,0,0,1,0,1,4,5,6,7,1,66,73,24,61,715,33307,133369,false,false,false,Healthcare,China,West,male,nonsmoker,Married,409004945
9,3,0,1,1,1,0,1,1,0,1,0,7,2,4,1,43,46,73,97,731,111609,421059,false,false,false,Financial Services,EU,NE,female,nonsmoker,Married,292225096
10,3,0,1,0,1,0,0,1,1,1,0,2,4,1,1,63,107,38,96,381,73026,260862,false,false,false,Media and Advertising,Africa,New York,female,nonsmoker,Married,198079454
11,3,0,1,1,1,0,0,1,0,1,2,3,6,1,29,19,23,45,93,813,193040,94891,false,false,false,Transportation,China,New York,female,nonsmoker,Married,275785478
12,3,0,0,1,1,1,1,1,0,1,5,6,7,6,34,27,4,43,90,710,5572,255751,false,false,false,Manufacturing,Other,MidWest,male,smoker,Married,758799508
13,3,0,1,0,1,0,0,1,1,1,6,2,7,2,1,31,82,50,87,770,10046,212885,false,false,false,Media and Advertising,Other,Florida,female,nonsmoker,Married,947255669
14,3,0,1,1,0,1,0,1,1,2,4,1,7,1,1,32,27,38,71,611,43541,200425,false,false,false,Energy,Other,New York,female,smoker,Divorced,200596934
15,3,0,1,1,1,0,0,1,0,1,1,4,3,2,1,36,91,33,81,725,27884,283805,false,false,true,Hospitality,Middle East,Florida,female,nonsmoker,Married,678262779
16,3,0,0,1,1,0,0,1,0,1,4,6,2,5,1,35,60,50,52,786,467613,467192,false,false,true,Manufacturing,EU,South,male,nonsmoker,Married,824678212
17,3,0,0,1,1,1,1,0,1,1,1,1,4,4,1,58,35,62,93,825,470024,234070,false,false,true,Energy,Africa,NE,male,smoker,Married,704630296
18,3,0,0,1,0,1,0,1,1,1,1,3,2,1,1,35,25,38,93,829,156735,298654,false,true,true,Transportation,EU,New York,male,smoker,Married,492459552
19,3,0,1,0,1,0,0,1,1,1,0,1,5,2,15,52,23,39,93,823,57197,58411,false,false,false,Energy,India,Florida,female,nonsmoker,Married,802905355
20,3,0,0,1,1,0,0,0,1,2,1,2,7,4,1,54,30,7,70,746,15999,233394,false,false,true,Media and Advertising,Other,NE,male,nonsmoker,Divorced,461056349
21,3,0,0,1,1,0,1,1,1,1,3,6,2,1,1,70,58,29,8,743,426029,146196,true,true,true,Manufacturing,EU,New York,male,nonsmoker,Married,834275482
22,3,0,1,1,1,1,1,1,1,1,4,3,5,2,1,35,59,41,6,321,22271,69216,false,false,true,Transportation,India,Florida,female,smoker,Married,721183602
23,3,0,0,1,1,1,0,1,0,2,5,6,6,1,15,41,7,44,82,790,6207,282980,false,false,false,Manufacturing,China,New York,male,smoker,Divorced,540373597
24,3,0,1,1,1,1,0,1,1,1,4,3,5,0,32,29,11,57,78,735,489188,356298,true,true,true,Transportation,India,California,female,smoker,Married,641495781
25,3,0,0,1,1,0,1,1,1,1,2,4,1,2,1,32,35,45,85,658,126223,243978,false,false,true,Hospitality,LATAM,Florida,male,nonsmoker,Married,941382738
26,3,0,1,0,1,0,0,1,0,1,6,4,0,6,12,22,84,4,69,622,181253,496620,true,false,false,Hospitality,US,MidWest,female,nonsmoker,Married,124181790
27,3,0,1,1,1,0,1,1,0,0,5,4,5,2,1,33,73,73,84,779,231704,185819,false,false,true,Hospitality,India,Florida,female,nonsmoker,Single,686273076
28,3,0,0,1,1,1,0,0,1,1,4,2,3,3,2,32,7,41,77,718,21436,464248,false,true,true,Media and Advertising,Middle East,Texas,male,smoker,Married,592789990
29,3,0,1,1,1,1,0,1,1,1,1,4,7,4,7,43,37,9,99,812,31925,210330,false,false,false,Hospitality,Other,NE,female,smoker,Married,343956622
30,3,0,0,0,1,0,0,0,0,1,0,6,6,3,1,56,91,47,32,561,59804,71796,true,true,true,Manufacturing,China,Texas,male,nonsmoker,Married,458555148
