account_id,performance_period,event_indicator,gender,ever_missed_obligation,at_current_job_1_year,smoker,uses_direct_deposit,business_owner,homeowner,marital_status,num_dependents,job_industry,citizenship,region,years_at_residence,age,debt_to_income,num_transactions,credit_history_mos,credit_score,amount,net_worth,id_important_activity,id_direct_contact,id_current_fs_relationship,job_industry_char,citizenship_char,region_char,gender_char,smoker_char,marital_status_char,ssn
1,1,0,1,0,1,0,1,0,0,1,5,6,2,1,21,24,89,45,66,839,394983,290849,false,false,false,Manufacturing,EU,New York,female,nonsmoker,Married,953810916
2,1,0,0,0,1,0,1,0,1,1,6,2,6,1,1,25,86,48,80,740,14034,439080,false,true,false,Media and Advertising,China,New York,male,nonsmoker,Married,310746433
3,1,0,1,0,1,0,0,0,0,1,1,3,1,3,1,31,99,41,94,582,47546,285680,false,true,true,Transportation,LATAM,Texas,female,nonsmoker,Married,721384841
4,1,0,0,1,0,1,1,0,0,1,1,7,4,4,8,40,88,50,59,773,168611,191603,false,true,false,Financial Services,Africa,NE,male,smoker,Married,512625072
5,1,0,1,1,0,0,0,1,0,1,3,4,0,1,1,29,45,64,79,766,9672,299392,true,true,false,Hospitality,US,New York,female,nonsmoker,Married,835493752
6,1,0,0,1,1,1,0,0,0,0,5,2,6,5,2,19,2,74,81,603,119355,249289,false,false,false,Media and Advertising,China,South,male,smoker,Single,301874138
7,1,0,1,0,1,1,0,1,1,2,6,5,7,0,20,50,89,33,94,834,26010,353236,false,false,true,Healthcare,Other,California,female,smoker,Divorced,715485418
8,1,0,1,0,1,1,0,1,0,1,6,6,5,5,1,45,2,70,69,501,45494,443035,false,false,true,Manufacturing,India,South,female,smoker,Married,197163615
9,1,0,0,1,1,0,0,1,1,2,2,3,7,3,1,25,51,35,91,731,30380,113098,false,true,false,Transportation,Other,Texas,male,nonsmoker,Divorced,747397472
10,1,0,0,0,0,1,0,1,1,1,7,6,6,0,1,55,35,43,97,669,139613,432391,false,false,false,Manufacturing,China,California,male,smoker,Married,548597993
11,1,0,1,1,1,1,0,1,1,1,3,5,2,2,29,19,34,13,89,805,254511,261244,false,false,true,Healthcare,EU,Florida,female,smoker,Married,765442415
12,1,0,1,1,1,0,0,0,0,1,3,4,0,4,15,46,49,72,72,660,32758,414380,false,false,true,Hospitality,US,NE,female,nonsmoker,Married,809154144
13,1,0,0,0,1,0,0,1,0,1,5,0,5,4,6,50,23,21,69,731,240800,312482,false,false,true,Education,India,NE,male,nonsmoker,Married,396829646
14,1,0,1,1,0,1,0,1,0,2,3,4,7,3,1,56,7,1,94,703,24031,218280,false,false,false,Hospitality,Other,Texas,female,smoker,Divorced,280247907
15,1,0,0,0,0,0,1,1,1,1,5,4,6,5,1,42,47,48,82,709,2473,188936,false,false,false,Hospitality,China,South,male,nonsmoker,Married,877626920
16,1,0,0,0,1,1,1,1,1,0,0,7,7,5,1,46,16,41,83,726,30666,681882,false,false,false,Financial Services,Other,South,male,smoker,Single,507920419
17,1,0,0,1,1,1,1,1,0,1,3,4,7,5,17,44,29,28,79,653,206444,434577,false,false,true,Hospitality,Other,South,male,smoker,Married,211824463
18,1,0,0,1,0,0,0,0,1,2,6,4,0,4,39,26,19,50,46,709,41414,204198,false,false,true,Hospitality,US,NE,male,nonsmoker,Divorced,697078102
19,1,0,0,1,0,0,0,1,1,0,3,4,7,4,1,44,115,45,89,770,85766,338137,false,false,false,Hospitality,Other,NE,male,nonsmoker,Single,536056213
20,1,0,0,1,0,0,0,1,1,0,5,3,7,1,26,48,72,36,41,709,39703,306937,true,false,true,Transportation,Other,New York,male,nonsmoker,Single,444792413
21,1,0,1,1,1,0,1,1,0,1,0,3,0,4,35,40,48,40,29,660,14219,107011,false,true,false,Transportation,US,NE,female,nonsmoker,Married,192942498
22,1,0,1,0,0,1,0,1,1,1,3,6,0,0,1,74,81,7,98,769,310200,448149,false,false,true,Manufacturing,US,California,female,smoker,Married,620465005
23,1,0,1,1,0,0,0,1,0,2,2,1,5,7,1,24,9,45,95,717,461563,171937,true,false,false,Energy,India,West,female,nonsmoker,Divorced,950570949
24,1,0,1,1,1,1,0,0,0,1,6,7,7,2,1,19,39,66,94,730,151320,285388,false,false,true,Financial Services,Other,Florida,female,smoker,Married,919298132
